dataset,num_examples,num_correct,num_few_shot
does_not_contain_special_char,300,270,3
does_not_contain_special_char,300,299,10
does_not_contain_special_char,300,300,30
does_not_contain_special_char,300,300,90
is_positive_sentiment,300,281,3
is_positive_sentiment,300,300,10
is_positive_sentiment,300,300,30
is_positive_sentiment,300,300,90
contains_capitals,300,157,3
contains_capitals,300,181,10
contains_capitals,300,261,30
contains_capitals,300,279,90
contains_references_to_people,300,192,3
contains_references_to_people,300,265,10
contains_references_to_people,300,291,30
contains_references_to_people,300,298,90
is_multiple_2,300,165,3
is_multiple_2,300,165,10
is_multiple_2,300,183,30
is_multiple_2,300,192,90
contains_capitals,300,276,50
